"répands, charmante nuit, répands sur tous les yeux, de tes pavots la douce violence,","que soupirer d'amour est une douce chose,"
"allons donc mon carrosse  où est-ce qu'est mon carrosse ? mon dieu qu'on est misérable d'avoir des gens comme cela ! est-ce qu'on me fera attendre toute la journée sur le pavé","moy ne vouloir pas laisser."
"holà ! ho cocher petit laquais. ah petit fripon que de coups de fou et je vous ferai donner tantôt ! petit laquais petit laquais ","moi ne faire rien."
"où est-ce donc qu'est ce petit laquais ? ce petit laquais ne se trouvera-t-il point ? ne me fera-t-on point venir ce petit laquais ? est-ce que je n'ai point un petit laquais dans le monde ?","moi ne faire rien."
"que deviendrai-je cependant ?","toi l'avoir menty toi-même. L’EXEMPT"
"que deviendrai-je cependant ?","qu'est-ce ? quelle violence est-ce là ?  et que voulez-vous faire à madame ? allons que l'on sorte de là si vous ne voulez que je vous mette en prison."
"allons dépêchons camerade li faut allair tous deux nous à la crève pour regarter un peu chousticier sti monsiu de porcegnac qui l'a esté contané par ortonnance à l'être pendu par son cou.","parti pon aussi, toi ne l'afoir point encore. L’EXEMPT"
"allons dépêchons camerade li faut allair tous deux nous à la crève pour regarter un peu chousticier sti monsiu de porcegnac qui l'a esté contané par ortonnance à l'être pendu par son cou.","ouais, voilà un visage qui ressemble bien à celui que l'on m'a dépeint. L’EXEMPT"
"allons dépêchons camerade li faut allair tous deux nous à la crève pour regarter un peu chousticier sti monsiu de porcegnac qui l'a esté contané par ortonnance à l'être pendu par son cou.","ah, ah ! qu'est-ce que je veux dire ? L’EXEMPT"
"allons dépêchons camerade li faut allair tous deux nous à la crève pour regarter un peu chousticier sti monsiu de porcegnac qui l'a esté contané par ortonnance à l'être pendu par son cou.","pourquoi donc dites-vous cela ? L’EXEMPT"
"allons dépêchons camerade li faut allair tous deux nous à la crève pour regarter un peu chousticier sti monsiu de porcegnac qui l'a esté contané par ortonnance à l'être pendu par son cou.","voilà un discours qui marque quelque chose, et je vous arrête prisonnier. L’EXEMPT"
"allons dépêchons camerade li faut allair tous deux nous à la crève pour regarter un peu chousticier sti monsiu de porcegnac qui l'a esté contané par ortonnance à l'être pendu par son cou.","non non : à votre mine  et à vos discours il faut que vous soyez ce monsieur de pourceaugnac que nous cherchons qui se soit déguisé de la sorte  et vous viendrez en prison tout à l'heure."
"li disent que l'on fait téjà planter un grand potence tout neuve pour li accrocher sti porcegnac.","ah ciel ! que veut dire cela ? L’EXEMPT"
"li disent que l'on fait téjà planter un grand potence tout neuve pour li accrocher sti porcegnac.","oui, oui, c'est de quoi je suis ravi. L’EXEMPT"
"li disent que l'on fait téjà planter un grand potence tout neuve pour li accrocher sti porcegnac.","non ; il m'est impossible. L’EXEMPT *à ses Archers*"
"li disent que l'on fait téjà planter un grand potence tout neuve pour li accrocher sti porcegnac.","retirez-vous un peu."
"oui, de li foir gambiller les pieds en haut tevant tout le monde.","ah maudite ville ! L’EXEMPT"
"oui, de li foir gambiller les pieds en haut tevant tout le monde.","combien y a-t-il ? L’EXEMPT"
"oui, de li foir gambiller les pieds en haut tevant tout le monde.","non, mon ordre est trop exprès."
"sti diable li vouloir trois femmes à li tout seul ; li est bien assez t'une.","mais…"
"que faire fous là tout seul ?","ah ! L’EXEMPT"
"que faire fous là tout seul ?","il faut donc que je m'enfuie avec lui car il n'y aurait point ici de sûreté pour moi. L’EXEMPT"
"que faire fous là tout seul ?","je vous promets de ne le point quitter, que je ne l'aie mis en lieu de sûreté."
"li est belle, par mon foi.","ne perdez point de temps je vous aime tant que je voudrais que vous fussiez déjà bien loin. que le ciel te conduise ! par ma foi voilà une grande dupe.  mais voici…"
"fous, mameselle, fouloir finir réchouir fous à la crève ? nous faire foir à fous un petit pendement pien choli.","qu'est-ce ? quel malheur me présages-tu ?"
"l'est un gentilhomme limossin qui sera pendu chantiment, à un grand potence.","il m'enlève ma fille !"
"li est là un petit teton qui l'est drole.","allons vite à la justice. des archers après eux."
"mon foy, moi couchair pien avec fous.","ah infâme que tu es !"
"laisse, toi, l'est moi qui le veut couchair avec elle.","hé bien ! oui j'ai conçu de l'amour pour lui  et je l'ai voulu suivre puisque mon père me l'avait choisi pour époux. quoi que vous me disiez"
"laisse, toi, l'est moi qui le veut couchair avec elle.","c'est un fort honnête homme  et tous les crimes dont on l'accuse"
"moi li vouloir, moi. ils le tirent avec violence.","ce sont sans doute des pièces qu'on lui fait, et c'est peut-être lui qui a trouvé cet artifice pour vous en dégoûter."
"toi l'avoir menti.","oui, vous."
"au secours, à la force.","non non ne vous imaginez pas que j'aie aucune envie de détourner ce mariage  et que ce soit ma passion qui m'ait forcé à courir après vous."
"au secours, à la force.","je vous l'ai déjà dit ce n'est que la seule considération que j'ai pour monsieur votre père  et je n'ai pu souffrir qu'un honnête homme comme lui fût exposé à la honte de tous les bruits qui pourraient suivre une action comme la vôtre."
"parti pon, toi ne l'afoir point.","adieu monsieur j'avais toutes les ardeurs du monde d'entrer dans votre alliance  j'ai fait tout ce que j'ai pu pour obtenir un tel honneur  mais j'ai été malheureux"
"parti pon, toi ne l'afoir point."," et vous ne m'avez pas jugé digne de cette grâce. cela n'empêchera pas que je ne conserve pour vous les sentiments d'estime  et de vénération où votre personne m'oblige  et si je n'ai pu être votre gendre"
"je vous suis bien obligée, monsieur, de m'avoir délivrée de ces insolents.","je ne veux point d'autre mari que monsieur de pourceaugnac."
"ce n'est pas moi, je vous assure.","non, je n'en ferai rien."
"je ne sais pas.","non, non, monsieur, ne lui faites point de violence, je vous en prie."
"pour rien.","ne voyez-vous pas l'amour qu'elle a pour c et homme-là ?  et voulez-vous que je possède un corps"
"eh, monsieur, de grâce.","je ne…"
"hélas !","ne croyez pas que ce soit pour l'amour de vous que je vous donne la main ce n'est que de monsieur votre père dont je suis amoureux  et c'est lui que j'épouse."
"ils m'ont reconnu.","en attendant qu'il vienne nous pouvons jouir du divertissement de la saison  et faire entrer les masques que le bruit des noces de monsieur de pourceaugnac a attirés ici de tous les endroits de la ville."
"eh ! monsieur pour l'amour de moi : vous savez que nous sommes amis il y a longtemps ","ne songeons qu'à nous réjouir, la grande affaire est le plaisir."
"eh ! monsieur pour l'amour de moi : vous savez que nous sommes amis il y a longtemps ","L’ÉGYPTIEN aimons jusques au trépas,"
"eh ! monsieur pour l'amour de moi : vous savez que nous sommes amis il y a longtemps ","la raison nous y convie : hélas ! si l'on n'aimait pas,"
"eh ! monsieur pour l'amour de moi : vous savez que nous sommes amis il y a longtemps ","que serait-ce de la vie ? ah ! perdons plutôt le jour,"
"eh ! monsieur pour l'amour de moi : vous savez que nous sommes amis il y a longtemps ","que de perdre notre amour. tous deux en dialogue :"
"eh ! monsieur pour l'amour de moi : vous savez que nous sommes amis il y a longtemps ","L’ÉGYPTIENNE la gloire,"
"eh ! monsieur pour l'amour de moi : vous savez que nous sommes amis il y a longtemps ","L’ÉGYPTIENNE les sceptres qui font tant d'envie."
"eh ! monsieur pour l'amour de moi : vous savez que nous sommes amis il y a longtemps ","L’ÉGYPTIENNE il n'est point, sans l'amour, de plaisir dans la vie."
"eh ! monsieur pour l'amour de moi : vous savez que nous sommes amis il y a longtemps ","*Le petit* CHOEUR *chante après ces deux derniers Vers* sus, sus, chantons tous ensemble,"
"eh ! monsieur pour l'amour de moi : vous savez que nous sommes amis il y a longtemps ","dansons, sautons, jouons-nous."
