"qu'est-ce donc ? qu'avez-vous ?","laissez-moi, je vous prie."
"que l'air dont vous viviez, vous faisait un peu tort. qu'il prenait, dans le monde, une méchante face,","tout cela, si je puis vous parler franchement, madame, fut blâmé, d'un commun sentiment."
"qu'il n'est conte fâcheux que partout on n'en fasse ; et que, si vous vouliez, tous vos déportements","à quoi bon, disaient-ils, cette mine modeste, et ce sage dehors, que dément tout le reste ?"
"pourraient moins donner prise aux mauvais jugements. non que j'y croie, au fonds, l'honnêteté blessée,","elle est, à bien prier, exacte au dernier point, mais elle bat ses gens, et ne les paye point,"
"me préserve le ciel d'en avoir la pensée ; mais aux ombres du crime, on prête aisément foi,","dans tous les lieux dévots, elle étale un grand zèle, mais elle met du blanc, et veut paraître belle ;"
"et ce n'est pas assez, de bien vivre pour soi. madame, je vous crois l'âme trop raisonnable,","elle fait des tableaux couvrir les nudités, mais elle a de l'amour pour les réalités."
"pour ne pas prendre bien, cet avis profitable ; et pour l'attribuer qu'aux mouvements secrets","pour moi, contre chacun, je pris votre défense, et leur assurai fort, que c'était médisance ;"
"d'un zèle qui m'attache à tous vos intérêts.","mais tous les sentiments combattirent le mien, et leur conclusion fut que vous feriez bien,"
"il n'est pas nécessaire, madame ; l'amitié doit surtout éclater","de prendre moins de soin des actions des autres, et de vous mettre, un peu, plus en peine des vôtres."
"aux choses, qui le plus, nous peuvent importer ; et comme il n'en est point de plus grande importance,","qu'on doit se regarder soi-même, un fort long temps, avant que de songer à condamner les gens ;"
"que celles de l'honneur et de la bienséance, je viens, par un avis qui touche votre honneur,","qu'il faut mettre le poids d'une vie exemplaire, dans les corrections qu'aux autres, on veut faire ;"
"témoigner l'amitié que, pour vous, a mon cœur. hier, j'étais chez des gens, de vertu singulière,","et qu'encor, vaut-il mieux s'en remettre, au besoin, à ceux à qui le ciel en a commis le soin."
"où, sur vous, du discours, on tourna la matière ; et là, votre conduite, avec ses grands éclats,","madame, je vous crois, aussi, trop raisonnable, pour ne pas prendre bien, cet avis profitable,"
"madame, eut le malheur, qu'on ne la loua pas. cette foule de gens, dont vous souffrez visite,","et pour l'attribuer qu'aux mouvements secrets, d'un zèle qui m'attache à tous vos intérêts."
"à quoi, qu'en reprenant, on soit assujettie, je ne m'attendais pas à cette repartie,","au contraire, madame, et si l'on était sage, ces avis mutuels seraient mis en usage ;"
"madame, et je vois bien, par ce qu'elle a d'aigreur, que mon sincère avis vous a blessée au cœur.","on détruirait, par là, traitant de bonne foi, ce grand aveuglement, où chacun est pour soi."
"à quoi, qu'en reprenant, on soit assujettie, je ne m'attendais pas à cette repartie,","il ne tiendra qu'à vous, qu'avec le même zèle, nous ne continuions cet office fidèle ;"
"madame, et je vois bien, par ce qu'elle a d'aigreur, que mon sincère avis vous a blessée au cœur.","et ne prenions grand soin de nous dire, entre nous, ce que nous entendrons, vous de moi, moi de vous."
"ah ! madame, de vous, je ne puis rien entendre ; c'est en moi que l'on peut trouver fort à reprendre.","madame, on peut, je crois, louer, et blâmer tout, et chacun a raison, suivant l'âge, et le goût :"
"ah ! madame, de vous, je ne puis rien entendre ; c'est en moi que l'on peut trouver fort à reprendre.","il est une saison pour la galanterie, il en est une, aussi, propre à la pruderie ;"
"ah ! madame, de vous, je ne puis rien entendre ; c'est en moi que l'on peut trouver fort à reprendre.","on peut, par politique, en prendre le parti, quand de nos jeunes ans, l'éclat est amorti ;"
"ah ! madame, de vous, je ne puis rien entendre ; c'est en moi que l'on peut trouver fort à reprendre.","cela sert à couvrir de fâcheuses disgrâces. je ne dis pas, qu'un jour, je ne suive vos traces,"
"ah ! madame, de vous, je ne puis rien entendre ; c'est en moi que l'on peut trouver fort à reprendre.","l'âge amènera tout, et ce n'est pas le temps, madame, comme on sait, d'être prude à vingt ans."
"certes, vous vous targuez d'un bien faible avantage, et vous faites sonner, terriblement, votre âge :","et moi, je ne sais pas, madame, aussi pourquoi, on vous voit, en tous lieux, vous déchaîner sur moi ?"
"ce que, de plus que vous, on en pourrait avoir, n'est pas un si grand cas, pour s'en tant prévaloir ;","faut-il de vos chagrins, sans cesse, à moi vous prendre ? et puis-je mais des soins qu'on ne va pas vous rendre ?"
"et je ne sais pourquoi, votre âme, ainsi, s'emporte, madame, à me pousser de cette étrange sorte ?","si ma personne, aux gens, inspire de l'amour, et si l'on continue à m'offrir, chaque jour,"
"certes, vous vous targuez d'un bien faible avantage, et vous faites sonner, terriblement, votre âge :","des vœux que votre cœur peut souhaiter qu'on m'ôte, je n'y saurais que faire, et ce n'est pas ma faute ;"
"ce que, de plus que vous, on en pourrait avoir, n'est pas un si grand cas, pour s'en tant prévaloir ;","vous avez le champ libre, et je n'empêche pas, que pour les attirer, vous n'ayez des appas."
"hélas ! et croyez-vous que l'on se mette en peine de ce nombre d'amants dont vous faites la vaine :","ayez-en, donc, madame, et voyons cette affaire, par ce rare secret, efforcez-vous de plaire :"
"et qu'il ne nous soit pas fort aisé de juger, à quel prix, aujourd'hui, l'on peut les engager ?","et sans…"
"pensez-vous faire croire, à voir comme tout roule, que votre seul mérite attire cette foule ?","ayez-en, donc, madame, et voyons cette affaire, par ce rare secret, efforcez-vous de plaire :"
"qu'ils ne brûlent, pour vous, que d'un honnête amour, et que, pour vos vertus, ils vous font tous la cour ?","et sans…"
"on ne s'aveugle point par de vaines défaites, le monde n'est point dupe, et j'en vois qui sont faites","ayez-en, donc, madame, et voyons cette affaire, par ce rare secret, efforcez-vous de plaire :"
"à pouvoir inspirer de tendres sentiments, qui, chez elles, pourtant, ne fixent point d'amants ;","et sans…"
"et de là, nous pouvons tirer des conséquences qu'on n'acquiert point leurs cœurs, sans de grandes avances ;","ayez-en, donc, madame, et voyons cette affaire, par ce rare secret, efforcez-vous de plaire :"
"qu'aucun, pour nos beaux yeux, n'est notre soupirant, et qu'il faut acheter tous les soins qu'on nous rend.","et sans…"
"ne vous enflez, donc, point d'une si grande gloire, pour les petits brillants d'une faible victoire ;","ayez-en, donc, madame, et voyons cette affaire, par ce rare secret, efforcez-vous de plaire :"
"et corrigez, un peu, l'orgueil de vos appas, de traiter pour cela, les gens de haut en bas.","et sans…"
"si nos yeux enviaient les conquêtes des vôtres, je pense qu'on pourrait faire comme les autres,","ayez-en, donc, madame, et voyons cette affaire, par ce rare secret, efforcez-vous de plaire :"
"ne se point ménager, et vous faire bien voir que l'on a des amants, quand on en veut avoir.","et sans…"
"brisons, madame, un pareil entretien, il pousserait trop loin votre esprit, et le mien :","autant qu'il vous plaira, vous pouvez arrêter, madame, et là-dessus, rien ne doit vous hâter :"
"et j'aurais pris, déjà, le congé qu'il faut prendre, si mon carrosse, encor, ne m'obligeait d'attendre.","mais, sans vous fatiguer de ma cérémonie, je m'en vais vous donner meilleure compagnie ;"
"brisons, madame, un pareil entretien, il pousserait trop loin votre esprit, et le mien :","et monsieur, qu'à propos, le hasard fait venir, remplira mieux ma place à vous entretenir."
"et j'aurais pris, déjà, le congé qu'il faut prendre, si mon carrosse, encor, ne m'obligeait d'attendre.","alceste, il faut que j'aille écrire un mot de lettre, que, sans me faire tort, je ne saurais remettre ;"
"brisons, madame, un pareil entretien, il pousserait trop loin votre esprit, et le mien :","soyez avec madame, elle aura la bonté d'excuser, aisément, mon incivilité."
"vous voyez, elle veut que je vous entretienne, attendant, un moment, que mon carrosse vienne ;","moi, madame ! et sur quoi pourrais-je en rien prétendre ? quel service, à l'état, est-ce qu'on m'a vu rendre ?"
"et jamais tous ses soins ne pouvaient m'offrir rien, qui me fût plus charmant, qu'un pareil entretien.","qu'ai-je fait, s'il vous plaît, de si brillant de soi, pour me plaindre à la cour, qu'on ne fait rien pour moi ?"
"en vérité, les gens d'un mérite sublime, entraînent de chacun, et l'amour, et l'estime ;","moi, madame ! et sur quoi pourrais-je en rien prétendre ? quel service, à l'état, est-ce qu'on m'a vu rendre ?"
"et le vôtre, sans doute, a des charmes secrets, qui font entrer mon coeur dans tous vos intérêts.","qu'ai-je fait, s'il vous plaît, de si brillant de soi, pour me plaindre à la cour, qu'on ne fait rien pour moi ?"
"je voudrais que la cour, par un regard propice, à ce que vous valez, rendît plus de justice :","moi, madame ! et sur quoi pourrais-je en rien prétendre ? quel service, à l'état, est-ce qu'on m'a vu rendre ?"
"vous avez à vous plaindre, et je suis en courroux, quand je vois, chaque jour, qu'on ne fait rien pour vous.","qu'ai-je fait, s'il vous plaît, de si brillant de soi, pour me plaindre à la cour, qu'on ne fait rien pour moi ?"
"tous ceux, sur qui la cour jette des yeux propices, n'ont pas, toujours, rendu de ces fameux services ;","mon dieu ! laissons mon mérite, de grâce ; de quoi voulez-vous, là, que la cour s'embarrasse ?"
"il faut l'occasion, ainsi que le pouvoir : et le mérite, enfin, que vous nous faites voir,","elle aurait fort à faire, et ses soins seraient grands, d'avoir à déterrer le mérite des gens."
"devrait…","mon dieu ! laissons mon mérite, de grâce ; de quoi voulez-vous, là, que la cour s'embarrasse ?"
"un mérite éclatant se déterre lui-même ; du vôtre, en bien des lieux, on fait un cas extrême ;","eh ! madame, l'on loue, aujourd'hui, tout le monde, et le siècle, par là, n'a rien qu'on ne confonde ;"
"et vous saurez, de moi, qu'en deux fort bons endroits, vous fûtes hier, loué par des gens d'un grand poids.","tout est d'un grand mérite également doué, ce n'est plus un honneur, que de se voir loué ;"
"un mérite éclatant se déterre lui-même ; du vôtre, en bien des lieux, on fait un cas extrême ;","d'éloges, on regorge ; à la tête, on les jette, et mon valet de chambre est mis dans la gazette."
"pour moi, je voudrais bien, que pour vous montrer mieux, une charge, à la cour, vous pût frapper les yeux :","et que voudriez-vous, madame, que j'y fisse ? l'humeur dont je me sens, veut que je m'en bannisse ;"
"pour peu que d'y songer vous nous fassiez les mines, on peut, pour vous servir, remuer des machines,","le ciel ne m'a point fait, en me donnant le jour, une âme compatible avec l'air de la cour."
"et j'ai des gens en main, que j'emploierai pour vous, qui vous feront, à tout, un chemin assez doux.","je ne me trouve point les vertus nécessaires pour y bien réussir, et faire mes affaires."
"pour moi, je voudrais bien, que pour vous montrer mieux, une charge, à la cour, vous pût frapper les yeux :","être franc, et sincère, est mon plus grand talent, je ne sais point jouer les hommes en parlant ;"
"pour peu que d'y songer vous nous fassiez les mines, on peut, pour vous servir, remuer des machines,","et qui n'a pas le don de cacher ce qu'il pense, doit faire, en ce pays, fort peu de résidence."
"et j'ai des gens en main, que j'emploierai pour vous, qui vous feront, à tout, un chemin assez doux.","hors de la cour, sans doute, on n'a pas cet appui, et ces titres d'honneur, qu'elle donne aujourd'hui ;"
"pour moi, je voudrais bien, que pour vous montrer mieux, une charge, à la cour, vous pût frapper les yeux :","mais on n'a pas, aussi, perdant ces avantages, le chagrin de jouer de fort sots personnages."
"pour peu que d'y songer vous nous fassiez les mines, on peut, pour vous servir, remuer des machines,","on n'a point à souffrir mille rebuts cruels, on n'a point à louer les vers de messieurs tels,"
"et j'ai des gens en main, que j'emploierai pour vous, qui vous feront, à tout, un chemin assez doux.","à donner de l'encens à madame une telle, et de nos francs marquis, essuyer la cervelle."
"laissons, puisqu'il vous plaît, ce chapitre de cour, mais il faut que mon coeur vous plaigne en votre amour ;","mais, disant cela, songez-vous, je vous prie, que cette personne est, madame, votre amie ?"
"et pour vous découvrir, là-dessus, mes pensées, je souhaiterais fort vos ardeurs mieux placées :","mais, disant cela, songez-vous, je vous prie, que cette personne est, madame, votre amie ?"
"vous méritez, sans doute, un sort beaucoup plus doux, et celle qui vous charme, est indigne de vous.","mais, disant cela, songez-vous, je vous prie, que cette personne est, madame, votre amie ?"
"oui, mais ma conscience est blessée en effet, de souffrir, plus longtemps, le tort que l'on vous fait :","c'est me montrer, madame, un tendre mouvement ; et de pareils avis obligent un amant."
"l'état où je vous vois, afflige trop mon âme, et je vous donne avis, qu'on trahit votre flamme.","c'est me montrer, madame, un tendre mouvement ; et de pareils avis obligent un amant."
"oui, toute mon amie, elle est, et je la nomme indigne d'asservir le coeur d'un galant homme.","cela se peut, madame, on ne voit pas les coeurs ; mais votre charité se serait bien passée"
"et le sien n'a, pour vous, que de feintes douceurs.","de jeter, dans le mien, une telle pensée."
"si vous ne voulez pas être désabusé, il faut ne vous rien dire, il est assez aisé.","non ; mais sur ce sujet quoi que l'on nous expose, les doutes sont fâcheux, plus que toute autre chose ;"
"si vous ne voulez pas être désabusé, il faut ne vous rien dire, il est assez aisé.","et je voudrais, pour moi, qu'on ne me fît savoir que ce, qu'avec clarté, l'on peut me faire voir."
"hé bien, c'est assez dit ; et, sur cette matière, vous allez recevoir une pleine lumière.","non, l'on n'a point vu d'âme à manier, si dure, ni d'accommodement plus pénible à conclure ;"
"oui, je veux que de tout, vos yeux vous fassent foi, donnez-moi, seulement, la main jusque chez moi.","en vain, de tous côtés, on l'a voulu tourner, hors de son sentiment, on n'a pu l'entraîner ;"
"là, je vous ferai voir une preuve fidèle de l'infidélité du coeur de votre belle ;","et, jamais, différend si bizarre, je pense, n'avait de ces messieurs, occupé la prudence."
"et si, pour d'autres yeux, le vôtre peut brûler, on pourra vous offrir de quoi vous consoler.","*non, messieurs,* disait-il, *je ne me dédis point,* et tomberai d'accord de tout, hors de ce point."
"hé bien, c'est assez dit ; et, sur cette matière, vous allez recevoir une pleine lumière.","de quoi s'offense-t-il ? et que veut-il me dire ? y va-t-il de sa gloire, à ne pas bien écrire ?"
"oui, je veux que de tout, vos yeux vous fassent foi, donnez-moi, seulement, la main jusque chez moi.","que lui fait mon avis, qu'il a pris de travers ? on peut être honnête homme, et faire mal des vers ;"
"là, je vous ferai voir une preuve fidèle de l'infidélité du coeur de votre belle ;","ce n'est point à l'honneur, que touchent ces matières, je le tiens galant homme en toutes les manières,"
"et si, pour d'autres yeux, le vôtre peut brûler, on pourra vous offrir de quoi vous consoler.","homme de qualité, de mérite et de coeur, tout ce qu'il vous plaira, mais fort méchant auteur."
"hé bien, c'est assez dit ; et, sur cette matière, vous allez recevoir une pleine lumière.","je louerai, si l'on veut, son train, et sa dépense, son adresse, à cheval, aux armes, à la danse ;"
"oui, je veux que de tout, vos yeux vous fassent foi, donnez-moi, seulement, la main jusque chez moi.","mais, pour louer ses vers, je suis son serviteur ; et lorsque d'en mieux faire, on n'a pas le bonheur,"
"là, je vous ferai voir une preuve fidèle de l'infidélité du coeur de votre belle ;","on ne doit, de rimer, avoir aucune envie, qu'on n'y soit condamné, sur peine de la vie."
"et si, pour d'autres yeux, le vôtre peut brûler, on pourra vous offrir de quoi vous consoler.","enfin, toute la grâce, et l'accommodement, où s'est, avec effort, plié son sentiment,"
"hé bien, c'est assez dit ; et, sur cette matière, vous allez recevoir une pleine lumière.","c'est de dire, croyant adoucir bien son style, monsieur, je suis fâché d'être si difficile ;"
"oui, je veux que de tout, vos yeux vous fassent foi, donnez-moi, seulement, la main jusque chez moi.","et, pour l'amour de vous, je voudrais, de bon coeur, avoir trouvé, tantôt, votre sonnet meilleur ;"
"là, je vous ferai voir une preuve fidèle de l'infidélité du coeur de votre belle ;","et dans une embrassade, on leur a, pour conclure, fait vite envelopper toute la procédure."
"dans ses façons d'agir, il est fort singulier, mais j'en fais, je l'avoue, un cas particulier ;","pour moi, plus je le vois, plus, surtout, je m'étonne de cette passion où son coeur s'abandonne :"
"et la sincérité dont son âme se pique, a quelque chose, en soi, de noble, et d'héroïque ;","de l'humeur dont le ciel a voulu le former, je ne sais pas comment il s'avise d'aimer ;"
"c'est une vertu rare, au siècle d'aujourd'hui, et je la voudrais voir, partout, comme chez lui.","et je sais moins, encor, comment votre cousine peut être la personne où son penchant l'incline."
"cela fait assez voir que l'amour, dans les coeurs, n'est pas, toujours, produit par un rapport d'humeurs ;","mais, croyez-vous qu'on l'aime, aux choses qu'on peut voir ?"
"et toutes ces raisons de douces sympathies, dans cet exemple-ci, se trouvent démenties.","mais, croyez-vous qu'on l'aime, aux choses qu'on peut voir ?"
"c'est un point qu'il n'est pas fort aisé de savoir. comment pouvoir juger s'il est vrai qu'elle l'aime ?","je crois que notre ami, près de cette cousine, trouvera des chagrins plus qu'il ne s'imagine ;"
"son coeur, de ce qu'il sent, n'est pas bien sûr lui-même ; il aime, quelquefois, sans qu'il le sache bien,","et s'il avait mon coeur, à dire vérité, il tournerait ses voeux tout d'un autre côté ;"
"et croit aimer, aussi, parfois, qu'il n'en est rien.","et par un choix plus juste, on le verrait, madame, profiter des bontés que lui montre votre âme."
"pour moi, je n'en fais point de façons, et je crois qu'on doit, sur de tels points, être de bonne foi :","et moi, de mon côté, je ne m'oppose pas, madame, à ces bontés qu'ont, pour lui, vos appas ;"
"je ne m'oppose point à toute sa tendresse ; au contraire, mon coeur, pour elle, s'intéresse ;","et lui-même, s'il veut, il peut bien vous instruire de ce que, là-dessus, j'ai pris soin de lui dire."
"et si c'était qu'à moi, la chose pût tenir, moi-même, à ce qu'il aime, on me verrait l'unir.","mais si, par un hymen, qui les joindrait eux deux, vous étiez hors d'état de recevoir ses voeux,"
"mais, si dans un tel choix, comme tout se peut faire, son amour éprouvait quelque destin contraire,","tous les miens tenteraient la faveur éclatante, qu'avec tant de bonté, votre âme lui présente ;"
"s'il fallait que d'un autre, on couronnât les feux, je pourrais me résoudre à recevoir ses voeux ;","heureux si, quand son coeur s'y pourra dérober, elle pouvait sur moi, madame, retomber."
"et le refus souffert, en pareille occurrence, ne m'y ferait trouver aucune répugnance.","et moi, de mon côté, je ne m'oppose pas, madame, à ces bontés qu'ont, pour lui, vos appas ;"
"vous vous divertissez, philinte.","non, madame, et je vous parle, ici, du meilleur de mon âme ;"
"vous vous divertissez, philinte.","j'attends l'occasion de m'offrir hautement, et de tous mes souhaits, j'en presse le moment."
"ah ! faites-moi raison, madame, d'une offense qui vient de triompher de toute ma constance.","qu'est-ce, donc ? qu'avez-vous qui vous puisse émouvoir ?"
"j'ai que, sans mourir, je ne puis concevoir ; et le déchaînement de toute la nature,","que votre esprit, un peu, tâche à se rappeler !"
"ne m'accablerait pas, comme cette aventure. c'en est fait… mon amour… je ne saurais parler.","que votre esprit, un peu, tâche à se rappeler !"
"ô juste ciel ! faut-il qu'on joigne à tant de grâces, les vices odieux des âmes les plus basses ?","mais, encor, qui vous peut…"
"ah ! tout est ruiné, je suis, je suis trahi, je suis assassiné :","avez-vous, pour le croire, un juste fondement ?"
"célimène… eût-on pu croire cette nouvelle ? célimène me trompe, et n'est qu'une infidèle.","avez-vous, pour le croire, un juste fondement ?"
"peut-être, est-ce un soupçon conçu légèrement, et votre esprit jaloux, prend, parfois des chimères…","ah ! morbleu, mêlez-vous, monsieur, de vos affaires. c'est de sa trahison n'être que trop certain,"
"peut-être, est-ce un soupçon conçu légèrement, et votre esprit jaloux, prend, parfois des chimères…","que l'avoir, dans ma poche, écrite de sa main. oui, madame, une lettre écrite pour oronte,"
"peut-être, est-ce un soupçon conçu légèrement, et votre esprit jaloux, prend, parfois des chimères…","a produit, à mes yeux, ma disgrâce, et sa honte ; oronte, dont j'ai cru qu'elle fuyait les soins,"
"peut-être, est-ce un soupçon conçu légèrement, et votre esprit jaloux, prend, parfois des chimères…","et que, de mes rivaux, je redoutais le moins."
"une lettre peut bien tromper par l'apparence, et n'est pas, quelquefois si coupable, qu'on pense.","monsieur, encore un coup, laissez-moi, s'il vous plaît, et ne prenez souci que de votre intérêt."
"vous devez modérer vos transports, et l'outrage…","madame, c'est à vous qu'appartient cet ouvrage, c'est à vous, que mon coeur a recours, aujourd'hui,"
"vous devez modérer vos transports, et l'outrage…","pour pouvoir s'affranchir de son cuisant ennui. vengez-moi d'une ingrate, et perfide parente,"
"vous devez modérer vos transports, et l'outrage…","qui trahit, lâchement, une ardeur si constante ; vengez-moi de ce trait qui doit vous faire horreur."
"moi, vous venger ! comment ?","en recevant mon coeur. acceptez-le, madame, au lieu de l'infidèle,"
"moi, vous venger ! comment ?","c'est par là, que je puis prendre vengeance d'elle : et je la veux punir par les sincères voeux,"
"moi, vous venger ! comment ?","par le profond amour, les soins respectueux, les devoirs empressés et l'assidu service"
"moi, vous venger ! comment ?","dont ce coeur va vous faire un ardent sacrifice."
"je compatis, sans doute, à ce que vous souffrez, et ne méprise point le coeur que vous m'offrez :","non, non, madame, non, l'offense est trop mortelle, il n'est point de retour, et je romps avec elle ;"
"mais, peut-être, le mal n'est pas si grand qu'on pense, et vous pourrez quitter ce désir de vengeance.","rien ne saurait changer le dessein que j'en fais, et je me punirais, de l'estimer jamais."
"lorsque l'injure part d'un objet plein d'appas, on fait force desseins, qu'on n'exécute pas :","la voici. mon courroux redouble à cette approche, je vais, de sa noirceur, lui faire un vif reproche,"
"on a beau voir, pour rompre, une raison puissante, une coupable aimée, est, bientôt, innocente ;","pleinement, la confondre, et vous porter, après, un coeur tout dégagé de ses trompeurs attraits."
"tout le mal qu'on lui veut, se dissipe aisément, et l'on sait ce que c'est, qu'un courroux d'un amant.","non, non, madame, non, l'offense est trop mortelle, il n'est point de retour, et je romps avec elle ;"
"ô ciel ! de mes transports, puis-je être, ici, le maître ?","ouais, quel est donc, le trouble, où je vous vois paraître ? et que me veulent dire, et ces soupirs poussés,"
"ô ciel ! de mes transports, puis-je être, ici, le maître ?","et ces sombres regards que, sur moi, vous lancez ?"
"que toutes les horreurs, dont une âme est capable, à vos déloyautés, n'ont rien de comparable :","voilà, certainement, des douceurs que j'admire."
"que le sort, les démons, et le ciel, en courroux, n'ont, jamais, rien produit de si méchant que vous.","voilà, certainement, des douceurs que j'admire."
"ah ! ne plaisantez point, il n'est pas temps de rire, rougissez, bien plutôt, vous en avez raison :","d'où vient, donc, je vous prie, un tel emportement ? avez-vous, dites-moi, perdu le jugement ?"
"et j'ai de sûrs témoins de votre trahison. voilà ce que marquaient les troubles de mon âme,","d'où vient, donc, je vous prie, un tel emportement ? avez-vous, dites-moi, perdu le jugement ?"
"ce n'était pas en vain, que s'alarmait ma flamme : par ces fréquents soupçons, qu'on trouvait odieux,","d'où vient, donc, je vous prie, un tel emportement ? avez-vous, dites-moi, perdu le jugement ?"
"je cherchais le malheur qu'ont rencontré mes yeux : et malgré tous vos soins, et votre adresse à feindre,","d'où vient, donc, je vous prie, un tel emportement ? avez-vous, dites-moi, perdu le jugement ?"
"mon astre me disait, ce que j'avais à craindre : mais ne présumez pas que, sans être vengé,","d'où vient, donc, je vous prie, un tel emportement ? avez-vous, dites-moi, perdu le jugement ?"
"je souffre le dépit de me voir outragé. je sais que, sur les vœux, on n'a point de puissance,","d'où vient, donc, je vous prie, un tel emportement ? avez-vous, dites-moi, perdu le jugement ?"
"que l'amour veut, partout, naître sans dépendance ; que jamais, par la force, on n'entra dans un coeur,","d'où vient, donc, je vous prie, un tel emportement ? avez-vous, dites-moi, perdu le jugement ?"
"et que toute âme est libre à nommer son vainqueur. aussi ne trouverais-je aucun sujet de plainte,","d'où vient, donc, je vous prie, un tel emportement ? avez-vous, dites-moi, perdu le jugement ?"
"si, pour moi, votre bouche avait parlé sans feinte ; et, rejetant mes voeux dès le premier abord,","d'où vient, donc, je vous prie, un tel emportement ? avez-vous, dites-moi, perdu le jugement ?"
"mon coeur n'aurait eu droit de s'en prendre qu'au sort. mais, d'un aveu trompeur, voir ma flamme applaudie,","d'où vient, donc, je vous prie, un tel emportement ? avez-vous, dites-moi, perdu le jugement ?"
"c'est une trahison, c'est une perfidie, qui ne saurait trouver de trop grands châtiments :","d'où vient, donc, je vous prie, un tel emportement ? avez-vous, dites-moi, perdu le jugement ?"
"et je puis tout permettre à mes ressentiments. oui, oui, redoutez tout, après un tel outrage,","d'où vient, donc, je vous prie, un tel emportement ? avez-vous, dites-moi, perdu le jugement ?"
"je ne suis plus à moi, je suis tout à la rage : percé du coup mortel dont vous m'assassinez,","d'où vient, donc, je vous prie, un tel emportement ? avez-vous, dites-moi, perdu le jugement ?"
"mes sens, par la raison, ne sont plus gouvernés ; je cède aux mouvements d'une juste colère,","d'où vient, donc, je vous prie, un tel emportement ? avez-vous, dites-moi, perdu le jugement ?"
"et je ne réponds pas de ce que je puis faire.","d'où vient, donc, je vous prie, un tel emportement ? avez-vous, dites-moi, perdu le jugement ?"
"oui, oui, je l'ai perdu, lorsque dans votre vue j'ai pris, pour mon malheur, le poison qui me tue,","de quelle trahison pouvez-vous, donc, vous plaindre ?"
"et que j'ai cru trouver quelque sincérité dans les traîtres appas dont je fus enchanté.","de quelle trahison pouvez-vous, donc, vous plaindre ?"
"ah ! que ce coeur est double, et sait bien l'art de feindre ! mais, pour le mettre à bout, j'ai des moyens tous prêts :","voilà, donc, le sujet qui vous trouble l'esprit ?"
"jetez ici les yeux, et connaissez vos traits ; ce billet découvert, suffit pour vous confondre,","voilà, donc, le sujet qui vous trouble l'esprit ?"
"et, contre ce témoin, on n a rien à répondre.","voilà, donc, le sujet qui vous trouble l'esprit ?"
"vous ne rougissez pas, en voyant cet écrit ?","et par quelle raison faut-il que j'en rougisse ?"
"quoi ! vous joignez, ici, l'audace, à l'artifice ? le désavouerez-vous, pour n'avoir point de seing ?","pourquoi désavouer un billet de ma main ?"
"et vous pouvez le voir, sans demeurer confuse du crime dont, vers moi, son style vous accuse ?","vous êtes, sans mentir, un grand extravagant."
"quoi ? vous bravez, ainsi, ce témoin convaincant ? et ce qu'il m'a fait voir de douceur pour oronte,","oronte ! qui vous dit que la lettre est pour lui ?"
"n'a, donc, rien qui m'outrage, et qui vous fasse honte ?","oronte ! qui vous dit que la lettre est pour lui ?"
"les gens qui, dans mes mains, l'ont remise, aujourd'hui. mais je veux consentir qu'elle soit pour un autre,","mais, si c'est une femme à qui va ce billet, en quoi vous blesse-t-il ? et qu'a-t-il de coupable ?"
"mon coeur en a-t-il moins à se plaindre du vôtre ? en serez-vous, vers moi, moins coupable en effet ?","mais, si c'est une femme à qui va ce billet, en quoi vous blesse-t-il ? et qu'a-t-il de coupable ?"
"ah ! le détour est bon, et l'excuse admirable, je ne m'attendais pas, je l'avoue, à ce trait :","il ne me plaît pas, moi. je vous trouve plaisant, d'user d'un tel empire,"
"et me voilà, par là, convaincu tout à fait. osez-vous recourir à ces ruses grossières,","et de me dire, au nez, ce que vous m'osez dire."
"et croyez-vous les gens si privés de lumières ? voyons, voyons, un peu, par quel biais, de quel air,","il ne me plaît pas, moi. je vous trouve plaisant, d'user d'un tel empire,"
"vous voulez soutenir un mensonge si clair : et comment vous pourrez tourner, pour une femme,","et de me dire, au nez, ce que vous m'osez dire."
"tous les mots d'un billet qui montre tant de flamme ? ajustez, pour couvrir un manquement de foi,","il ne me plaît pas, moi. je vous trouve plaisant, d'user d'un tel empire,"
"ce que je m'en vais lire…","et de me dire, au nez, ce que vous m'osez dire."
"non, non, sans s'emporter, prenez, un peu, souci de me justifier les termes que voici.","non, je n'en veux rien faire ; et, dans cette occurrence, tout ce que vous croirez, m'est de peu d'importance."
"de grâce, montrez-moi, je serai satisfait, qu'on peut, pour une femme, expliquer ce billet.","non, il est pour oronte, et je veux qu'on le croie, je reçois tous ses soins, avec beaucoup de joie,"
"de grâce, montrez-moi, je serai satisfait, qu'on peut, pour une femme, expliquer ce billet.","j'admire ce qu'il dit, j'estime ce qu'il est ; et je tombe d'accord de tout ce qu'il vous plaît."
"de grâce, montrez-moi, je serai satisfait, qu'on peut, pour une femme, expliquer ce billet.","faites, prenez parti, que rien ne vous arrête, et ne me rompez pas, davantage, la tête."
"ciel ! rien de plus cruel peut-il être inventé : et, jamais, coeur fut-il de la sorte traité ?","allez, vous êtes fou, dans vos transports jaloux, et ne méritez pas l'amour qu'on a pour vous."
"quoi ! d'un juste courroux je suis ému contre elle, c'est moi qui me viens plaindre, et c'est moi qu'on querelle !","je voudrais bien savoir, qui pourrait me contraindre à descendre, pour vous, aux bassesses de feindre :"
"on pousse ma douleur, et mes soupçons à bout, on me laisse tout croire, on fait gloire de tout ;","et pourquoi, si mon coeur penchait d'autre côté, je ne le dirais pas avec sincérité ?"
