"*Récit de *L’AURORE quand l'amour à vos yeux offre un choix agréable,"," holà ? holà ? debout, debout, debout :"
"morbleu que n'ai-je de la voix ? ah ! nature marâtre ! pourquoi ne m'as-tu pas donné de quoi chanter comme à un autre ?","voilà qui est le mieux du monde : mais moron je souhaiterais bien d'avoir la gloire que quelque amant fût mort pour moi c'est un avantage dont je n'ai point encore joui"
"morbleu que n'ai-je de la voix ? ah ! nature marâtre ! pourquoi ne m'as-tu pas donné de quoi chanter comme à un autre ?"," et je trouve que j'aimerais de tout mon cœur une personne qui m'aimerait assez pour se donner la mort."
" mais pourquoi est-ce que je ne puis pas chanter ? n'ai-je pas un estomac un gosier  et une langue comme un autre ? oui oui allons je veux chanter aussi","oui."
" et te montrer que l'amour fait faire toutes choses. voici une chanson que j'ai faite pour toi.","oui."
"courage, moron, il n'y a qu'à avoir de la hardiesse. moron chante.","non."
"ton extrême rigueur s'acharne sur mon cœur,","non."
"ah ! philis je trépasse ! daigne me secourir :","non."
"en seras-tu plus grasse de m'avoir fait mourir ?","non."
"*vivat,* moron.","non."
"tu aimerais une personne qui se tuerait pour toi ?","ah ! quelle douceur extrême, de mourir pour ce qu'on aime. *bis.*"
"il ne faut que cela pour te plaire ?","courage moron ! meurs promptement en généreux amant."
"voilà qui est fait, je te veux montrer que je me sais tuer quand je veux.","allons, tircis. viens-t'en me redire à l'écho, ce que tu m'as chanté. la princesse espérant par une feinte pouvoir découvrir les sentiments du prince d'ithaque"
"voilà qui est fait, je te veux montrer que je me sais tuer quand je veux.","elle lui fit confidence qu'elle aimait le prince de messène : au lieu d'en paraître affligé il lui rendit la pareille  et lui fit connaître que la princesse sa parente lui avait donné dans la vue"
"voilà qui est fait, je te veux montrer que je me sais tuer quand je veux."," et qu'il la demanderait en mariage au roi son père : à cette atteinte imprévue cette princesse perdit toute sa constance   et quoiqu'elle essayât à se contraindre devant lui aussitôt qu'il fut sorti"
"voilà qui est fait, je te veux montrer que je me sais tuer quand je veux.","elle demanda avec tant d'empressement à sa cousine de ne recevoir point les services de ce prince  et de ne l'épouser jamais qu'elle ne put le lui refuser : elle s'en plaignit même à moron"
"voilà qui est fait, je te veux montrer que je me sais tuer quand je veux.","qui lui ayant dit assez franchement qu'elle l'aimait donc en fut chassé de sa présence."
"c'est un plaisir que vous aurez quand vous voudrez.","vous pourriez faire un tel choix, madame, que je l'approuverais sans doute."
"je vous prie de vous mêler de vos affaires  et de me laisser tuer à ma fantaisie. allons je vais faire honte à tous les amants tiens ? je ne suis pas homme à faire tant de façons","si j'étais dans votre cœur je pourrais vous le dire : mais comme je n'y suis pas, je n'ai garde de vous répondre."
"vois ce poignard ! prends bien garde comme je vais me percer le cœur ! se riant de tircis.","si j'étais dans votre cœur je pourrais vous le dire : mais comme je n'y suis pas, je n'ai garde de vous répondre."
"prince comme jusques ici nous avons fait paraître une conformité de sentiments  et que le ciel a semblé mettre en nous mêmes attachements pour notre liberté","j'aurais trop peur de me tromper."
" et même aversion pour l'amour  je suis bien aise de vous ouvrir mon cœur  et de vous faire confidence d'un changement dont vous serez surpris.","j'aurais trop peur de me tromper."
"j'ai toujours regardé l'hymen comme une chose affreuse  et j'avais fait serment d'abandonner plutôt la vie que de me résoudre ja mais à perdre cette liberté pour qui j'avais des tendresses si grandes :","j'aurais trop peur de me tromper."
"mais enfin un moment a dissipé toutes ces résolutions le mérite d'un prince m'a frappé aujourd'hui les yeux  et mon âme tout d'un coup (comme par un miracle) est devenue sensible aux traits de cette passion que j'avais toujours méprisée.","j'aurais trop peur de me tromper."
"j'ai trouvé d'abord des raisons pour autoriser ce changement  et je puis l'appuyer de la volonté de répondre aux ardentes sollicitations d'un père","j'aurais trop peur de me tromper."
" et aux vœux de tout un état  mais à vous dire vrai je suis en peine du jugement que vous ferez de moi  et je voudrais savoir si vous condamnerez ou non le dessein que j'ai de me donner un époux.","j'aurais trop peur de me tromper."
"qui croyez-vous, à votre avis, que je veuille choisir ?","je sais bien à vous dire vrai, pour qui je le souhaiterais : mais avant que de m'expliquer, je dois savoir votre pensée."
"devinez pour voir, et nommez quelqu'un ?","ô ciel !"
"mais, encore, pour qui souhaiteriez-vous que je me déclarasse ?","parlant à la princesse. bon, madame."
"mais, encore, pour qui souhaiteriez-vous que je me déclarasse ?","au prince. courage, seigneur."
"mais, encore, pour qui souhaiteriez-vous que je me déclarasse ?","à la princesse. il en tient."
"mais, encore, pour qui souhaiteriez-vous que je me déclarasse ?","au prince. ne vous défaites pas."
"eh bien prince je veux bien vous la découvrir : je suis sûre que vous allez approuver mon choix  et pour ne vous point tenir en suspens davantage le prince de messène est celui de qui le mérite s'est attiré mes vœux.","remettez-vous, et songez à répondre."
"mon invention a réussi, moron, le voilà qui se trouble.","je le suis à la vérité  et j'admire madame comme le ciel a pu former deux âmes aussi semblables en tout que les nôtres : deux âmes en qui l'on ait vu une plus grande conformité de sentiments"
"mon invention a réussi, moron, le voilà qui se trouble.","qui aient fait éclater dans le même temps une résolution à braver les traits de l'amour  et qui dans le même moment aient fait paraître une égale facilité à perdre le nom d'insensibles :"
"mon invention a réussi, moron, le voilà qui se trouble.","car enfin madame puisque votre exemple m'autorise je ne feindrai point de vous dire que l'amour aujourd'hui s'est rendu maître de mon cœur  et qu'une des princesses"
"mon invention a réussi, moron, le voilà qui se trouble.","vos cousines l'aimable  et belle aglante a renversé d'un coup d'œil tous les projets de ma fierté. je suis ravi madame que par cette égalité de défaite nous n'ayons rien à nous reprocher l'un "
"mon invention a réussi, moron, le voilà qui se trouble.","et l'autre ; et je ne doute point que comme je vous loue infiniment de votre choix vous n'approuviez aussi le mien. il faut que ce miracle éclate aux yeux de tout le monde"
"mon invention a réussi, moron, le voilà qui se trouble."," et nous ne devons point différer à nous rendre tous deux contents. pour moi madame je vous sollicite de vos suffrages pour obtenir celle que je souhaite"
"mon invention a réussi, moron, le voilà qui se trouble."," et vous trouverez bon que j'aille de ce pas en faire la demande au prince votre père."
"ne trouvez-vous pas que j'ai raison, et que ce prince a tout le mérite qu'on peut avoir ?","ah ! moron, je n'en puis plus, et ce coup que je n'attendais pas, triomphe absolument de toute ma fermeté."
"d'où vient, prince, que vous ne dites mot, et semblez interdit ?","ah ! ce m'est un dépit à me désespérer, qu'une autre ait l'avantage de soumettre ce cœur que je voulais soumettre."
"ah digne ! ah brave cœur !","le prince d'ithaque, madame ?"
"il est vrai que le coup est surprenant, et j'avais cru d'abord, que votre stratagème avait fait son effet.","mais madame s'il était vrai que ce prince m'aimât effectivement pourquoi n'ayant aucun dessein de vous engager ne voudriez-vous pas souffrir…"
"princesse j'ai à vous prier d'une chose qu'il faut absolument que vous m'accordiez : le prince d'ithaque vous aime  et veut vous demander au prince mon père.","madame, il faut vous obéir, mais je croirais que la conquête d'un tel cœur ne serait pas une victoire à dédaigner."
"oui. il vient de m'en assurer lui-même  et m'a demandé mon suffrage pour vous obtenir  mais je vous conjure de rejeter cette proposition  et de ne point prêter l'oreille à tout ce qu'il pourra vous dire.","madame je viens à vos pieds rendre grâce à l'amour de mes heureux destins  et vous témoigner avec mes transports le ressentiment où je suis"
"oui. il vient de m'en assurer lui-même  et m'a demandé mon suffrage pour vous obtenir  mais je vous conjure de rejeter cette proposition  et de ne point prêter l'oreille à tout ce qu'il pourra vous dire.","des bontés surprenantes dont vous daignez favoriser le plus soumis de vos captifs."
"non aglante je vous le demande faites-moi ce plaisir je vous prie  et trouvez bon que n'ayant pu avoir l'avantage de le soumettre","le prince d'ithaque madame vient de m'assurer tout à l'heure que votre cœur avait eu la bonté de s'expliquer en ma faveur"
"non, non, il n'aura pas la joie de me braver entièrement.","oui, madame."
"comment ?","madame, si j'ai été trop prompt à me persuader…"
"il vous a dit qu'il tenait cela de ma bouche ?","ah ! qu'en cette aventure le ciel me traite avec une rigueur étrange ! au moins princesse souvenez-vous de la prière que je vous ai faite ?"
"c'est un étourdi  et vous êtes un peu trop crédule prince d'ajouter foi si promptement à ce qu'il vous a dit  une pareille nouvelle mériterait bien ce me semble qu'on en doutât un peu de temps","mais madame s'il vous aimait vous n'en voudriez point  et cependant vous ne voulez pas qu'il soit à une autre :"
" et c'est tout ce que vous pourriez faire de la croire si je vous l'avais dite moi-même.","mais madame s'il vous aimait vous n'en voudriez point  et cependant vous ne voulez pas qu'il soit à une autre :"
"de grâce prince brisons-là ce discours  et si vous voulez m'obliger","ma foi madame avouons la dette vous voudriez qu'il fût à vous  et dans toutes vos actions il est aisé de voir que vous aimez un peu ce jeune prince."
"je vous l'ai dit déjà, madame, il faut vous obéir.","madame…"
"non je ne puis souffrir qu'il soit heureux avec une autre  et si la chose était","ma foi son cœur en a sa provision, et… il rencontre un regard de la princesse, qui l'oblige à se retirer."
"moi je l'aime ? ô ciel ! je l'aime ? avez-vous l'insolence de prononcer ces paroles sortez de ma vue impudent  et ne vous présentez ja mais devant moi.","chère philis, dis-moi, que crois-tu de l'amour ?"
"retirez-vous d'ici, vous dis-je, ou je vous en ferai retirer d'une autre manière.","on m'a dit que sa flamme est pire qu'un vautour, et qu'on souffre en aimant une peine cruelle."
"clymène, philis.","à qui des deux donnerons-nous victoire ?"
"toi-même, qu'en crois-tu, ma compagne fidèle ?","aimons, c'est le vrai moyen de savoir ce qu'on en doit croire."
"on m'a dit qu'il n'est point de passion plus belle, et que ne pas aimer c'est renoncer au jour.","amarante pour lui verse en tous lieux des larmes."
"qu'en croirons-nous, ou le mal ou le bien ?","si sa flamme, philis, est si pleine de charmes, pourquoi nous défend-on d'en goûter les douceurs ?"
"cloris vante partout l'amour et ses ardeurs.","qu'en croirons-nous, ou le mal ou le bien :"
"si de tant de tourments il accable les cœurs, d'où vient qu'on aime à lui rendre les armes ?","achevez seules si vous voulez je ne saurais demeurer en repos  et quelque douceur qu'aient vos chants ils ne font que redoubler mon inquiétude."
"si de tant de tourments il accable les cœurs, d'où vient qu'on aime à lui rendre les armes ?","il se passait dans le cœur du prince de messène des choses bien différentes la joie que lui avait donnée le prince d'ithaque en lui apprenant malicieusement qu'il était aimé de la princesse"
"si de tant de tourments il accable les cœurs, d'où vient qu'on aime à lui rendre les armes ?","l'avait obligé de l'aller trouver avec une inconsidération que rien qu'une extrême amour ne pouvait excuser  mais il en avait été reçu d'une manière bien différente à ce qu'il espérait."
"si de tant de tourments il accable les cœurs, d'où vient qu'on aime à lui rendre les armes ?","elle lui demanda qui lui avait appris cette nouvelle  et quand elle eut su que ç'avait été le prince d'ithaque cette connaissance augmenta cruellement son mal  et lui fit dire à demi désespérée"
"si de tant de tourments il accable les cœurs, d'où vient qu'on aime à lui rendre les armes ?","c'est un étourdi  et ce mot étourdit si fort le prince de messène qu'il sortit tout confus sans lui pouvoir répondre. la princesse d'un autre côté alla trouver le roi son père"
"si de tant de tourments il accable les cœurs, d'où vient qu'on aime à lui rendre les armes ?","qui venait de paraître avec le prince d'ithaque  et qui lui témoignait non seulement la joie qu'il aurait eue de le voir entrer dans son alliance"
"si de tant de tourments il accable les cœurs, d'où vient qu'on aime à lui rendre les armes ?"," mais même l'opinion qu'il commençait d'avoir que sa fille ne le haïssait pas : elle ne fut pas plutôt auprès de lui que se jetant à ses pieds"
"si de tant de tourments il accable les cœurs, d'où vient qu'on aime à lui rendre les armes ?","elle lui demanda pour la plus grande faveur qu'elle en pût ja mais recevoir que le prince d'ithaque n'épousât ja mais la princesse."
"si de tant de tourments il accable les cœurs, d'où vient qu'on aime à lui rendre les armes ?","ce qu'il lui promit solennellement  mais il lui dit que si elle ne voulait point qu'il fût à une autre il fallait qu'elle le prît pour elle : elle lui répondit il ne le voudrait pas "
"si de tant de tourments il accable les cœurs, d'où vient qu'on aime à lui rendre les armes ?"," mais d'une manière si passionnée qu'il était aisé de connaître les sentiments de son cœur. alors le prince quittant toute sorte de feinte lui confessa son amour"
"si de tant de tourments il accable les cœurs, d'où vient qu'on aime à lui rendre les armes ?"," et le stratagème dont il s'était servi pour venir au point où il se voyait alors par la connaissance de son humeur. la princesse lui donnant la main le roi se tourna vers les deux princes de messène "
"si de tant de tourments il accable les cœurs, d'où vient qu'on aime à lui rendre les armes ?","et de pyle  et leur demanda si ses deux parentes dont le mérite n'était pas moindre que la qualité ne seraient point capables de les consoler de leur disgrâce ils lui répondirent que l'honneur de son alliance faisant tous leurs souhaits"
"si de tant de tourments il accable les cœurs, d'où vient qu'on aime à lui rendre les armes ?","ils ne pouvaient espérer une plus heureuse fortune. alors la joie fut si grande dans le palais"
"à qui des deux donnerons-nous victoire ?","ah ! prince, que je devrai de grâces à ce stratagème amoureux, s'il faut qu'il ait trouvé le secret de toucher son cœur."
"aimons, c'est le vrai moyen de savoir ce qu'on en doit croire.","prince n'entrons point dans ces compliments je trouve en vous de quoi remplir tous les souhaits d'un père"
"oui seigneur ce n'est point raillerie j'en suis ce qu'on appelle disgracié. il m'a fallu tirer mes chausses au plus vite  et ja mais vous n'avez vu un emportement plus brusque que le sien.","oui l'honneur de votre alliance m'est d'un prix très considérable  et je souscris aisément de tous mes suffrages à la demande que vous me faites."
"quelque chose seigneur que l'on vienne de vous en dire je n'ose encore pour moi me flatter de ce doux espoir :  mais enfin si ce n'est pas à moi trop de témérité","et par quelle raison, ma fille, voudrais-tu t'opposer à cette union ?"
"que d'oser aspirer à l'honneur de votre alliance si ma personne","et par quelle raison, ma fille, voudrais-tu t'opposer à cette union ?"
"ô ciel ! que vois-je ici ?","tu le hais, ma fille ?"
"seigneur je me jette à vos pieds pour vous demander une grâce. vous m'avez toujours témoigné une tendresse extrême  et je crois vous devoir bien plus par les bontés que vous m'avez fait voir","et que t'a-t-il fait ?"
"que par le jour que vous m'avez donné :  mais si ja mais pour moi vous avez eu de l'amitié je vous en demande aujourd'hui la plus sensible preuve que vous me puissiez accorder","et que t'a-t-il fait ?"
"c'est de n'écouter point seigneur la demande de ce prince  et ne pas souffrir que la princesse aglante soit unie avec lui.","et que t'a-t-il fait ?"
"par la raison, que je hais ce prince, et que je veux, si je puis, traverser ses desseins.","et comment ?"
"oui, et de tout mon cœur, je vous l'avoue.","et quelle offense te fait cela ? tu ne veux accepter personne !"
"il m'a méprisée.","mais quel intérêt dois-tu prendre à lui ?"
"il ne m'a pas trouvée assez bien faite pour m'adresser ses vœux.","cela te tient donc bien au cœur ?"
"n'importe. il me devait aimer comme les autres  et me laisser au moins la gloire de le refuser : sa déclaration me fait un affront","va va ma fille avoue franchement la chose. le mérite de ce prince t'a fait ouvrir les yeux"
" et ce m'est une honte sensible qu'à mes yeux  et au milieu de votre cour il a recherché une autre que moi.","va va ma fille avoue franchement la chose. le mérite de ce prince t'a fait ouvrir les yeux"
"j'en prends seigneur à me venger de son mépris  et comme je sais bien qu'il aime aglante avec beaucoup d'ardeur je veux empêcher s'il vous plaît qu'il ne soit heureux avec elle.","oui, tu l'aimes."
"oui, seigneur, sans doute, et s'il obtient ce qu'il demande, vous me verrez expirer à vos yeux.","eh bien ? oui tu ne l'aimes pas. tu le hais j'y consens  et je veux bien pour te contenter qu'il n'épouse pas la princesse aglante."
"moi, seigneur ?","mais afin d'empêcher qu'il ne puisse être jamais à elle, il faut que tu le prennes pour toi."
"je l'aime dites-vous ?  et vous m'imputez cette lâcheté. ô ciel ! quelle est mon infortune ! puis-je bien sans mourir entendre ces paroles","pardonnez-moi madame si je suis assez téméraire pour cela  et je prends à témoin le prince votre père si ce n'est pas vous que j'ai demandée. c'est trop vous tenir dans l'erreur il faut lever le masque  et dussiez-vous vous en prévaloir contre moi"
" et faut-il que je sois si malheureuse qu'on me soupçonne de l'aimer. ah ! si c'était un autre que vous seigneur qui me tînt ce discours","découvrir à vos yeux les véritables sentiments de mon cœur. je n'ai ja mais aimé que vous  et ja mais je n'aimerai que vous. c'est vous"
"je l'aime dites-vous ?  et vous m'imputez cette lâcheté. ô ciel ! quelle est mon infortune ! puis-je bien sans mourir entendre ces paroles","madame qui m'avez enlevé cette qualité d'insensible que j'avais toujours affectée  et tout ce que j'ai pu vous dire n'a été qu'une feinte qu'un mouvement secr"
" et faut-il que je sois si malheureuse qu'on me soupçonne de l'aimer. ah ! si c'était un autre que vous seigneur qui me tînt ce discours","et m'a inspirée  et que je n'ai suivie qu'avec toutes les violences imaginables. il fallait qu'elle cessât bientôt sans doute  et je m'étonne seulement qu'elle ait pu durer la moitié d'un jour "
"je l'aime dites-vous ?  et vous m'imputez cette lâcheté. ô ciel ! quelle est mon infortune ! puis-je bien sans mourir entendre ces paroles","car enfin je mourais je brûlais dans l'âme quand je vous déguisais mes sentiments  et ja mais cœur n'a souffert une contrainte égale à la mienne."
" et faut-il que je sois si malheureuse qu'on me soupçonne de l'aimer. ah ! si c'était un autre que vous seigneur qui me tînt ce discours","que si cette feinte madame a quelque chose qui vous offense je suis tout prêt de mourir pour vous en venger : vous n'avez qu'à parler  et ma main sur-le-champ fera gloire d'exécuter l'arrêt que vous prononcerez."
"ah ! seigneur, vous me donnez la vie.","si bien donc, ma fille, que tu veux bien accepter ce prince pour époux ?"
"vous vous moquez, seigneur, et ce n'est pas ce qu'il demande.","vous jugez, prince, ce que cela veut dire, et vous vous pouvez fonder là-dessus."
"non non prince je ne vous sais pas mauvais gré de m'avoir abusée  et tout ce que vous m'avez dit je l'aime bien mieux une feinte","viens, moron, c'est ici un jour de paix, et je te remets en grâce avec la princesse."
"seigneur je ne sais pas encore ce que je veux : donnez-moi le temps d'y songer","je crains bien princes que le choix de ma fille ne soit pas en votre faveur   mais voilà deux princesses qui peuvent bien vous consoler de ce petit malheur."
