"quand la neige fondue enfle un torrent fameux, contre l'effort soudain de ses flots écumeux","le foudre menaçant qui perce avec fureur l'affreuse obscurité de la nue enflammée,"
"je vous aime, je vous aime, oui, tircis, je vous aime.","dieux, rois, qui sous vos pieds regardez tout le monde, pouvez-vous comparer votre bonheur au mien ?"
"je vous aime, je vous aime, oui, tircis, je vous aime.","mais, philis, une pensée vient troubler ce doux transport,"
"je vous aime, je vous aime, oui, tircis, je vous aime.","un rival, un rival…"
"ah ! je le hais plus que la mort, et sa présence ainsi qu'à vous","mais un père à ses vœux vous veut assujettir."
"m'est un cruel supplice.","mais un père à ses vœux vous veut assujettir."
"plutôt, plutôt mourir, que de jamais y consentir,","et que dit le père à tout cela ?"
"plutôt, plutôt mourir, plutôt mourir.","et que dit le père à tout cela ?"
"il ne dit rien.","voilà un sot père que ce père-là, de souffrir toutes ces sottises-là, sans rien dire."
"ah ! mon amour…","non non en voilà assez cette comédie-là est de fort mauvais exemple. le berger tircis est un impertinent  et la bergère philis une impudente de parler de la sorte devant son père."
"ah ! mon amour…","montrez-moi ce papier. ha ha. où sont donc les paroles que vous avez dites ?"
"est-ce que vous ne savez pas monsieur qu'on a trouvé depuis peu l'invention d'écrire les paroles avec les notes mêmes ?","fort bien. je suis votre serviteur monsieur jusqu'au revoir. nous nous serions bien passés de votre impertinent d'opéra."
"j'ai cru vous divertir.","les sottises ne divertissent point. ah ! voici ma femme."
"mamour, voilà le fils de monsieur diafoirus","madame, c'est avec justice que le ciel vous a concédé le nom de belle-mère, puisque l'on voit sur votre visage…"
"monsieur, je suis ravie d'être venue ici à propos pour avoir l'honneur de vous voir.","puisque l'on voit sur votre visage… madame vous m'avez interrompu dans le milieu de ma période"
"thomas, réservez cela pour une autre fois.","je voudrais, ma mie, que vous eussiez été ici tantôt."
"ah madame vous avez bien perdu de n'avoir point été au second père","allons, ma fille, touchez dans la main de monsieur, et lui donnez votre foi comme à votre mari."
"mon père.","hé bien, mon père. qu'est-ce que cela veut dire ?"
"de grâce ne précipitez pas les choses. donnez-nous au moins le temps de nous connaître  et de voir naître en nous l'un pour l'autre cette inclination si nécessaire à composer une union parfaite.","quant à moi, mademoiselle, elle est déjà toute née en moi ; et je n'ai pas besoin d'attendre davantage."
"si vous êtes si prompt monsieur il n'en est pas de même de moi  et je vous avoue que votre mérite n'a pas encore fait assez d'impression dans mon âme.","ho bien, bien, cela aura tout le loisir de se faire quand vous serez mariés ensemble."
"eh mon père donnez-moi du temps je vous prie le mariage est une chaîne où l'on ne doit ja mais soumettre un cœur par force   et si monsieur est honnête homme","*nego consequentiam* mademoiselle   et je puis être honnête homme  et vouloir bien vous accepter des mains de monsieur votre père."
"il ne doit point vouloir accepter une personne qui serait à lui par contrainte.","*nego consequentiam* mademoiselle   et je puis être honnête homme  et vouloir bien vous accepter des mains de monsieur votre père."
"c'est un méchant moyen de se faire aimer de quelqu'un, que de lui faire violence.","nous lisons des anciens mademoiselle que leur coutume était d'enlever par force de la maison des pères les filles qu'on menait marier afin qu'il ne semblât pas que ce fût de leur consentement qu'elles convolaient dans les bras d'un homme."
"les anciens monsieur sont les anciens  et nous sommes les gens de maintenant. les grimaces ne sont point nécessaires dans notre siècle  et quand un mariage nous plaît","oui, mademoiselle, jusques aux intérêts de mon amour exclusivement."
"nous savons fort bien y aller sans qu'on nous y traîne. donnez-vous patience  si vous m'aimez monsieur vous devez vouloir tout ce que je veux.","oui, mademoiselle, jusques aux intérêts de mon amour exclusivement."
"mais la grande marque d'amour, c'est d'être soumis aux volontés de celle qu'on aime.","*distinguo*, mademoiselle, dans ce qui ne regarde point sa possession, *concedo*, mais dans ce qui la regarde, *nego*."
"vous avez beau raisonner monsieur est frais émoulu du collège  et il vous donnera toujours votre reste. pourquoi tant résister","elle a peut-être quelque inclination en tête."
" et refuser la gloire d'être attachée au corps de la faculté ?","elle a peut-être quelque inclination en tête."
"si j'en avais, madame, elle serait telle que la raison et l'honnêteté pourraient me la permettre.","ouais, je joue ici un plaisant personnage."
"si j'étais que de vous, mon fils, je ne la forcerais point à se marier, et je sais bien ce que je ferais.","je sais madame ce que vous voulez dire  et les bontés que vous avez pour moi  mais peut-être que vos conseils ne seront pas assez heureux pour être exécutés."
"c'est que les filles bien sages et bien honnêtes comme vous se moquent d'être obéissantes  et soumises aux volontés de leurs pères. cela était bon autrefois.","le devoir d'une fille a des bornes, madame, et la raison et les lois ne l'étendent point à toutes sortes de choses."
"c'est-à-dire que vos pensées ne sont que pour le mariage ; mais vous voulez choisir un époux à votre fantaisie.","si mon père ne veut pas me donner un mari qui me plaise je le conjurerai au moins de ne me point forcer à en épouser un que je ne puisse pas aimer."
"messieurs, je vous demande pardon de tout ceci.","chacun a son but en se mariant pour moi qui ne veux un mari que pour l'aimer véritablement  et qui prétends en faire tout l'attachement de ma vie je vous avoue que j'y cherche quelque précaution."
"messieurs, je vous demande pardon de tout ceci.","il y en a d'aucunes qui prennent des maris seulement pour se tirer de la contrainte de leurs parents  et se mettre en état de faire tout ce qu'elles voudront. il y en a d'autres"
"messieurs, je vous demande pardon de tout ceci.","madame qui font du mariage un commerce de pur intérêt  qui ne se marient que pour gagner des douaires  que pour s'enrichir par la mort de ceux qu'elles épousent  et courent sans scrupule de mari en mari"
"messieurs, je vous demande pardon de tout ceci.","pour s'approprier leurs dépouilles. ces personnes-là à la vérité n'y cherchent pas tant de façons"
"je vous trouve aujourd'hui bien raisonnante, et je voudrais bien savoir ce que vous voulez dire par là.","moi, madame ? que voudrais-je dire que ce que je dis ?"
"vous êtes si sotte, ma mie, qu'on ne saurait plus vous souffrir.","vous voudriez bien madame m'obliger à vous répondre quelque impertinence "
"il n'est rien d'égal à votre insolence.","non, madame, vous avez beau dire."
"et vous avez un ridicule orgueil, une impertinente présomption qui fait hausser les épaules à tout le monde.","tout cela madame ne servira de rien je serai sage en dépit de vous   et pour vous ôter l'espérance de pouvoir réussir dans ce que vous voulez"
"écoute il n'y a point de milieu à cela choisis d'épouser dans quatre jours ou monsieur ou un convent. ne vous mettez pas en peine je la rangerai bien.","je suis fâchée de vous quitter mon fils   mais j'ai une affaire en ville dont je ne puis me dispenser."
"allez, mamour, et passez chez votre notaire, afin qu'il expédie ce que vous savez.","adieu, mon petit ami."
"adieu, ma mie. voilà une femme qui m'aime… cela n'est pas croyable.","nous allons, monsieur, prendre congé de vous."
"je vous prie, monsieur, de me dire un peu comment je suis.","allons thomas prenez l'autre bras de monsieur pour voir si vous saurez porter un bon jugement de son pouls."
"*dico*, que le pouls de monsieur est le pouls d'un homme qui ne se porte point bien.","bon."
"qu'il est duriuscule, pour ne pas dire dur.","fort bien."
"repoussant.","bene."
"et même un peu caprisant.","optime."
"ce qui marque une intempérie dans le parenchyme splénique, c'est-à-dire la rate.","fort bien."
"non, monsieur purgon dit que c'est mon foie qui est malade.","eh oui qui dit parenchyme dit l'un  et l'autre à cause de l'étroite sympathie qu'ils ont ensemble par le moyen du *vas breve* du pylore  et souvent des méats cholidoques. il vous ordonne sans doute de manger force rôti."
"non, rien que du bouilli.","eh oui, rôti, bouilli, même chose. il vous ordonne fort prudemment, et vous ne pouvez être en de meilleures mains."
"monsieur, combien est-ce qu'il faut mettre de grains de sel dans un œuf ?","six, huit, dix, par les nombres pairs, comme dans les médicaments par les nombres impairs."
"jusques au revoir, monsieur.","je viens mon fils avant que de sortir vous donner avis d'une chose à laquelle il faut que vous preniez garde. en passant par-devant la chambre d'angélique"
"jusques au revoir, monsieur.","j'ai vu un jeune homme avec elle qui s'est sauvé d'abord qu'il m'a vue."
"un jeune homme avec ma fille ?","oui. votre petite fille louison était avec eux, qui pourra vous en dire des nouvelles."
"envoyez-la ici, mamour ; envoyez-la ici. ah l'effrontée ! je ne m'étonne plus de sa résistance.","qu'est-ce que vous voulez, mon papa ? ma belle-maman m'a dit que vous me demandez."
"oui, venez ça, avancez là. tournez-vous, levez les yeux. regardez-moi. eh !","quoi, mon papa ?"
"là ?","quoi ?"
"n'avez-vous rien à me dire ?","je vous dirai si vous voulez pour vous désennuyer le conte de peau d'âne ou bien la fable du corbeau et du renard qu'on m'a apprise depuis peu."
"ce n'est pas là ce que je demande.","quoi donc ?"
"ah rusée, vous savez bien ce que je veux dire.","pardonnez-moi, mon papa."
"est-ce là comme vous m'obéissez ?","quoi ?"
"ne vous ai-je pas recommandé de me venir dire d'abord tout ce que vous voyez ?","oui, mon papa."
"l'avez-vous fait ?","oui, mon papa, je vous suis venu dire tout ce que j'ai vu."
"et n'avez-vous rien vu aujourd'hui ?","non, mon papa."
"non ?","non, mon papa."
"assurément ?","assurément."
"il prend une poignée de verges. oh çà, je m'en vais vous faire voir quelque chose, moi.","ah, mon papa !"
"ah, ah, petite masque, vous ne me dites pas que vous avez vu un homme dans la chambre de votre sœur.","mon papa."
"voici qui vous apprendra à mentir.","ah ! mon papa je vous demande pardon  c'est que ma sœur m'avait dit de ne pas vous le dire "
"il faut premièrement que vous ayez le fouet pour avoir menti ; puis après nous verrons au reste.","pardon, mon papa."
"non, non.","mon pauvre papa, ne me donnez pas le fouet."
"vous l'aurez.","au nom de dieu, mon papa, que je ne l'aie pas."
"allons, allons.","ah, mon papa, vous m'avez blessée ! attendez je suis morte. elle contrefait la morte."
"holà qu'est-ce là ? louison louison. ah mon dieu ! louison ! ah ma fille ! ah malheureux ma pauvre fille est morte. qu'ai-je fait misérable ?","là, là, mon papa, ne pleurez point tant, je ne suis pas encore morte tout à fait."
"ah chiennes de verges la peste soit des verges. ah ma pauvre fille !","là, là, mon papa, ne pleurez point tant, je ne suis pas encore morte tout à fait."
"voyez-vous la petite rusée ? oh çà, çà, je vous pardonne pour cette fois-ci, pourvu que vous me disiez bien tout.","ho oui mon papa."
"prenez-y bien garde au moins ; car voilà un petit doigt qui sait tout, qui me dira si vous mentez.","mais, mon papa, ne dites pas à ma sœur que je vous l'ai dit."
"non, non.","c'est, mon papa, qu'il est venu un homme dans la chambre de ma sœur comme j'y étais."
"hé bien ?","je lui ai demandé ce qu'il demandait, et il m'a dit qu'il était son maître à chanter."
"hon, hon ! voilà l'affaire. hé bien ?","ma sœur est venue après."
"hé bien ?","elle lui a dit : sortez, sortez, sortez ; mon dieu, sortez, vous me mettez au désespoir."
"hé bien ?","et lui, il ne voulait point sortir."
"qu'est-ce qu'il lui disait ?","il lui disait je ne sais combien de choses."
"et quoi encore ?","il lui disait, tout ci, tout ça, qu'il l'aimait bien, et qu'elle était la plus belle du monde."
"et puis après ?","et puis après, il se mettait à genoux devant elle."
"et puis après ?","et puis après il lui baisait les mains."
"et puis après ?","et puis après, ma belle-maman est venue à la porte, et il s'est enfui."
"il n'y a point autre chose ?","non, mon papa."
"voilà mon petit doigt pourtant qui gronde quelque chose attendez. eh ! ah ah ! oui ? oh oh ! voilà mon petit doigt qui me dit quelque chose que vous avez vu","ah mon papa, votre petit doigt est un menteur."
"prenez garde.","non, mon papa, ne le croyez pas, il ment, je vous assure."
"oh bien bien nous verrons cela. allez-vous-en  et prenez bien garde à tout. ah que d'affaires ! je n'ai pas seulement le loisir de songer à ma maladie","hé bien, mon frère, qu'est-ce ? comment vous portez-vous ?"
"ah mon frère, fort mal.","comment fort mal ?"
"oui, je suis dans une faiblesse si grande, que cela n'est pas croyable.","voilà qui est fâcheux."
"je n'ai pas seulement la force de pouvoir parler.","j'étais venu ici, mon frère, vous proposer un parti pour ma nièce angélique."
"mon frère ne me parlez point de cette coquine-là. c'est une friponne une impertinente une effrontée que je mettrai dans un convent avant qu'il soit deux jours.","ah ! voilà qui est bien. je suis bien aise que la force vous revienne un peu  et que ma visite vous fasse du bien. oh çà nous parlerons d'affaires tantôt."
"mon frère ne me parlez point de cette coquine-là. c'est une friponne une impertinente une effrontée que je mettrai dans un convent avant qu'il soit deux jours.","je vous amène ici un divertissement que j'ai rencontré qui dissipera votre chagrin  et vous rendra l'âme mieux disposée aux choses que nous avons à dire."
"mon frère ne me parlez point de cette coquine-là. c'est une friponne une impertinente une effrontée que je mettrai dans un convent avant qu'il soit deux jours.","ce sont des égyptiens vêtus en maures qui font des danses mêlées de chansons où je suis sûr que vous prendrez plaisir  et cela vaudra bien une ordonnance de monsieur purgon."
"mon frère ne me parlez point de cette coquine-là. c'est une friponne une impertinente une effrontée que je mettrai dans un convent avant qu'il soit deux jours.","le frère du *malade imaginaire* lui amène pour le divertir plusieurs égyptiens  et égyptiennes vêtus en maures qui font des danses entremêlées de chansons."
"profitez du printemps de vos beaux ans,","quand d'aimer on nous presse, à quoi songez-vous ?"
"aimable jeunesse ; profitez du printemps","nos cœurs dans la jeunesse n'ont vers la tendresse"
"de vos beaux ans, donnez-vous à la tendresse.","qu'un penchant trop doux ; l'amour a pour nous prendre"
"les plaisirs les plus charmants, sans l'amoureuse flamme,","de si doux attraits, que de soi, sans attendre,"
"pour contenter une âme n'ont point d'attraits assez puissants.","on voudrait se rendre à ses premiers traits :"
"profitez du printemps de vos beaux ans,","mais tout ce qu'on écoute, des vives douleurs"
"aimable jeunesse ; profitez du printemps","et des pleurs qu'il nous coûte, fait qu'on en redoute"
"de vos beaux ans, donnez-vous à la tendresse.","toutes les douceurs."
"ne perdez point ces précieux moments; la beauté passe,","quand d'aimer on nous presse, à quoi songez-vous ?"
"le temps l'efface, l'âge de glace","nos cœurs dans la jeunesse n'ont vers la tendresse"
"vient à sa place, qui nous ôte le goût de ces doux passe-temps.","qu'un penchant trop doux ; l'amour a pour nous prendre"
"profitez du printemps de vos beaux ans,","de si doux attraits, que de soi, sans attendre,"
"aimable jeunesse ; profitez du printemps,","on voudrait se rendre à ses premiers traits :"
"de vos beaux ans, donnez-vous à la tendresse.","mais tout ce qu'on écoute, des vives douleurs"
"il est doux à notre âge d'aimer tendrement","l'amant qui se dégage n'est pas le malheur,"
"un amant qui s'engage :","la douleur et la rage ;"
"mais s'il est volage hélas ! quel tourment ?","c'est que le volage garde notre cœur."
"quel parti faut-il prendre pour nos jeunes cœurs ?","devons-nous nous y rendre malgré ses rigueurs ?"
"oui, suivons ses ardeurs, ses transports, ses caprices,","hé bien, mon frère, que dites-vous du plaisir que vous venez d'avoir, cela ne vaut-il pas bien une prise de casse ?"
"ses douces langueurs ; s'il a quelques supplices,","hé bien, mon frère, que dites-vous du plaisir que vous venez d'avoir, cela ne vaut-il pas bien une prise de casse ?"
"il a cent délices tous les maures dansent ensemble, et font sauter des singes qu'ils ont amenés avec eux.","hé bien, mon frère, que dites-vous du plaisir que vous venez d'avoir, cela ne vaut-il pas bien une prise de casse ?"
"de bonne casse est bonne.","puisque vous êtes mieux, mon frère, vous voulez bien que je vous entretienne un peu de l'affaire de tantôt."
"un peu de patience, mon frère, je reviens dans un moment.","monsieur, vous oubliez votre bâton ; vous ne songez pas que vous ne sauriez marcher sans lui."
"tu as raison, donne vite.","eh monsieur n'avez-vous point de pitié pour votre nièce  et la laisserez-vous sacrifier au caprice de son père qui veut absolument qu'elle épouse ce qu'elle hait le plus au monde?"
"dans le vrai la nouvelle de ce bizarre mariage m'a fort surpris je veux tout mettre en usage pour rompre ce coup  et je porterai même les choses à la dernière extrémité","il est vrai que difficilement le fait-on changer de sentiment. écoutez pourtant je songe à quelque chose qui pourrait bien nous réussir."
"plutôt que de le souffrir. je lui ai déjà parlé en faveur de cléante  j'ai été très mal reçu  mais afin de faire réussir leurs feux","il est vrai que difficilement le fait-on changer de sentiment. écoutez pourtant je songe à quelque chose qui pourrait bien nous réussir."
"il faut commencer par le dégoûter de l'autre  et c'est ce qui m'embarrasse fort.","il est vrai que difficilement le fait-on changer de sentiment. écoutez pourtant je songe à quelque chose qui pourrait bien nous réussir."
"que prétends-tu faire ?","c'est un dessein assez burlesque  et une imagination fort plaisante qui me vient dans l'esprit pour duper notre homme  je songe qu'il faudrait faire venir un médecin à notre poste qui eût une méthode tout contraire à celle de monsieur purgon"
"que prétends-tu faire ?","qui le décriât et le fît passer pour un ignorant  qui lui offrît ses services  et lui promît de prendre soin de lui en sa place peut-être serons nous plus heureux que sages :"
"que prétends-tu faire ?","éprouvons ceci à tout hasard  mais comme je ne vois personne propre à bien faire le médecin"
"quel est-il ?","vous verrez ce que c'est, j'entends votre frère secondez-moi bien seulement."
"je veux, mon frère, vous faire une prière avant que de vous parler d'affaires.","quelle est-elle cette prière ?"
"c'est d'écouter favorablement tout ce que j'ai à vous dire.","bien, soit."
"de ne vous point emporter à votre ordinaire.","oui, je le ferai."
"et de me répondre sans chaleur précisément sur chaque chose.","hé bien oui : voici bien du préambule."
"ainsi, mon frère, par quelle raison, dites-moi, voulez-vous marier votre fille à un médecin ?","par la raison mon frère que je suis le maître chez moi  et que je puis disposer à ma volonté de tout ce qui est en ma puissance."
"mais encore, pourquoi choisir plutôt un médecin qu'un autre ?","parce que dans l'état où je suis un médecin m'est plus nécessaire que tout autre   et si ma fille était raisonnable c'en serait assez pour le lui faire accepter."
"par cette même raison, si votre petite louison était plus grande, vous la donneriez en mariage à un apothicaire.","eh pourquoi non ? voyez un peu le grand mal qu'il y aurait."
"en vérité mon frère je ne puis souffrir l'entêtement que vous avez des médecins","qu'entendez-vous par là, mon frère ?"
"j'entends mon frère que je ne vois guère d'hommes qui se portent mieux que vous  et que je ne voudrais pas avoir une meilleure constitution que la vôtre :","monsieur purgon dit que c'est ce qui me fait vivre :  et que je mourrais"
"une grande marque que vous vous portez bien c'est que toutes les médecines  et les lavements qu'on vous a fait prendre n'aient point encore altéré la bonté de votre tempérament ","monsieur purgon dit que c'est ce qui me fait vivre :  et que je mourrais"
" et un de mes étonnements est que vous ne soyez point crevé à force de remèdes.","monsieur purgon dit que c'est ce qui me fait vivre :  et que je mourrais"
"oui, oui, il en prendra tant de soin, que devant qu'il soit peu, vous n'aurez plus besoin de lui.","mais, mon frère, vous ne croyez donc point à la médecine ?"
"moi, mon frère ? nullement, et je ne vois pas que pour son salut, il soit nécessaire d'y croire.","quoi ? vous ne croyez pas à une science qui depuis un si long temps est si solidement établie par toute la terre "
"non vous dis-je  et je ne vois pas même une plus plaisante momerie : rien au monde de plus impertinent qu'un homme qui se veut mêler d'en guérir un autre.","eh pourquoi, mon frère, ne voulez-vous pas qu'un homme en puisse guérir un autre ?"
"parce que les ressorts de notre machine sont mystères jusques ici inconnus où les hommes ne voient goutte  et dont l'auteur de toutes choses s'est réservé la connaissance.","que faut-il donc faire lorsque l'on est malade ?"
"rien que se tenir de repos  et laisser faire la nature  puisque c'est elle qui est tombée dans le désordre","mais encore devez-vous m'avouer qu'on peut aider cette nature."
"bien éloigné de cela on ne fait bien souvent que l'empêcher de faire son effet :  et j'ai connu bien des gens qui sont morts des remèdes qu'on leur a fait prendre","vous voulez donc dire, mon frère, que les médecins ne savent rien ?"
"qui se porteraient bien présentement s'ils l'eussent laissé faire.","vous voulez donc dire, mon frère, que les médecins ne savent rien ?"
"non je ne dis pas cela  la plupart d'entre eux sont de très bons humanistes qui parlent fort bien latin qui savent nommer en grec toutes les maladies les définir   mais pour les guérir","mais pourquoi donc, mon frère, tous les hommes sont-ils dans la même erreur où vous voulez que je sois ?"
"c'est mon frère parce qu'il y a des choses dont l'apparence nous charme  et que nous croyons véritables par l'envie que nous avons qu'elles se fassent.","ouais, vous êtes devenu fort habile homme en peu de temps."
"la médecine est de celle-là il n'y a rien de si beau  et de si charmant que son objet : par exemple lorsqu'un médecin vous parle de purifier le sang de fortifier le cœur","ouais, vous êtes devenu fort habile homme en peu de temps."
"de rafraîchir les entrailles de rétablir la poitrine de raccommoder la rate d'apaiser la trop grande chaleur du foie de régler modérer  et retirer la chaleur naturelle","ouais, vous êtes devenu fort habile homme en peu de temps."
"il vous dit justement le roman de la médecine  et il en est comme de ces beaux songes qui pendant la nuit nous ont bien divertis  et qui ne nous laissent au réveil que le déplaisir de les avoir eus.","ouais, vous êtes devenu fort habile homme en peu de temps."
"dans les discours et dans les choses ce sont deux sortes de personnes que vos grands médecins  entendez-les parler ce sont les plus habiles gens du monde  voyez-les faire","ce sont donc de méchantes gens d'abuser ainsi de la crédulité et de la bonne foi des hommes ?"
"les plus ignorants de tous les hommes de telle manière que toute leur science est renfermée en un pompeux galimatias","ce sont donc de méchantes gens d'abuser ainsi de la crédulité et de la bonne foi des hommes ?"
"il y en a entre eux qui sont dans l'erreur aussi bien que les autres d'autres qui en profitent sans y être. votre monsieur purgon y est plus que personne.","c'est que vous avez une dent de lait contre lui."
"c'est un homme tout médecin depuis la tête jusques aux pieds qui croit plus aux règles de son art qu'à toutes les démonstrations de mathématique  et qui donne à travers les purgations  et les saignées sans y rien connaître","c'est que vous avez une dent de lait contre lui."
" et qui lorsqu'il vous tuera ne fera dans cette occasion que ce qu'il a fait à sa femme  et à ses enfants  et ce qu'en un besoin il ferait à lui-même.","c'est que vous avez une dent de lait contre lui."
"quelle raison m'en aurait-il donnée ?","je voudrais bien mon frère qu'il y eût ici quelqu'un de ces messieurs pour vous tenir tête pour rembarrer un peu tout ce que vous venez de dire  et vous apprendre à les attaquer."
"moi mon frère ? je ne prétends point les attaquer  ce que j'en dis n'est qu'entre nous  et que par manière de conversation chacun à ses périls  et fortunes en peut croire tout ce qu'il lui plaira.","voyez-vous mon frère ne me parlez plus contre ces gens-là ils me tiennent trop au cœur"
"soit je le veux bien  mais je souhaiterais seulement pour vous désennuyer vous mener voir un de ces jours représenter une des comédies de molière sur ce sujet.","ce sont de plaisants impertinents que vos comédiens avec leurs comédies de molière  c'est bien à faire à eux à se moquer de la médecine. ce sont de bons nigauds"
"soit je le veux bien  mais je souhaiterais seulement pour vous désennuyer vous mener voir un de ces jours représenter une des comédies de molière sur ce sujet."," et je les trouve bien ridicules de mettre sur leur théâtre de vénérables messieurs comme ces messieurs-là."
"que voulez-vous qu'ils y mettent que les diverses professions des hommes ? nous y voyons bien tous les jours des princes et des rois qui sont du moins d'aussi bonne maison que les médecins.","par la mort non d'un diable je les attraperais bien quand ils seraient malades ils auraient beau me prier je prendrais plaisir à les voir souffrir"
"que voulez-vous qu'ils y mettent que les diverses professions des hommes ? nous y voyons bien tous les jours des princes et des rois qui sont du moins d'aussi bonne maison que les médecins.","je ne voudrais pas les soulager en rien je ne leur ordonnerais pas la moindre petite saignée le moindre petit lavement je me vengerais bien de leur insolence"
"que voulez-vous qu'ils y mettent que les diverses professions des hommes ? nous y voyons bien tous les jours des princes et des rois qui sont du moins d'aussi bonne maison que les médecins."," et leur dirais : crevez crevez crevez mes petits messieurs cela vous apprendra à vous moquer une autre fois de la faculté."
"ils ne s'exposent point à de pareilles épreuves, et ils savent très bien se guérir eux-mêmes lorsqu'ils sont malades.","c'est un petit clystère que je vous apporte prenez vite monsieur"
"que voulez-vous faire, mon frère ?","attendez un moment, cela sera bientôt fait."
"je crois que vous vous moquez de moi eh ne sauriez-vous prendre un autre temps ?","à ce soir, s'il vous plaît, monsieur fleurant."
"de quoi vous mêlez-vous monsieur ? vous êtes bien plaisant d'empêcher monsieur de prendre son clystère","on voit bien, monsieur, que vous n'avez pas accoutumé de parler à des visages."
"que voulez-vous dire avec vos visages ? sachez que je ne perds pas ainsi mes pas  et que je viens ici en vertu d'une bonne ordonnance  et vous monsieur","mon frère vous allez être cause ici de quelque malheur   et je crains fort que monsieur purgon ne se fâche quand il saura que je n'ai pas pris son lavement."
"vous vous repentirez du mépris que vous en faites je vais le dire à monsieur purgon","mon frère vous allez être cause ici de quelque malheur   et je crains fort que monsieur purgon ne se fâche quand il saura que je n'ai pas pris son lavement."
"voyez un peu le grand mal de n'avoir pas pris un lavement que monsieur purgon a ordonné vous ne vous mettriez pas plus en peine si vous aviez commis un crime considérable.","mon dieu mon frère vous parlez comme un homme qui se porte bien  si vous étiez en ma place vous seriez aussi embarrassé que moi."
"encore un coup est-il possible qu'on ne vous puisse pas guérir de la maladie des médecins  et ne vous verrai-je ja mais qu'avec un lavement  et une médecine dans le corps ?","mon dieu mon frère vous parlez comme un homme qui se porte bien  si vous étiez en ma place vous seriez aussi embarrassé que moi."
"hé bien mon frère faites ce que vous voudrez.  mais j'en reviens toujours là votre fille n'est point destinée pour un médecin  et le parti dont je veux vous parler","il ne l'est pas pour moi  et cela me suffit  en un mot elle est promise"
"votre femme n'est pas des dernières à vous donner ce conseil.","ah ! j'étais bien étonné si l'on ne me parlait pas de la pauvre femme c'est toujours elle qui fait tout il faut que tout le monde en parle."
"ah ! j'ai tort il est vrai c'est une femme qui a trop d'amitié pour vos enfants   et qui pour l'amitié qu'elle leur porte voudrait les voir toutes deux bonnes religieuses.","qu'est-ce ? on vient de m'apprendre de belles nouvelles. comment refuser un clystère que j'avais pris plaisir moi-même de composer avec grand soin ?"
"monsieur purgon, ce n'est pas moi, c'est mon frère.","voilà une étrange rébellion d'un malade contre son médecin."
"cela est vrai.","le renvoyer avec audace ; c'est une action exorbitante."
"assurément.","un attentat énorme contre la médecine."
"cela est certain.","c'est un crime de lèse-faculté."
"vous avez raison.","je vous aurais dans peu tiré d'affaire  et je ne voulais plus que dix médecines"
"il ne le mérite pas.","mais puisque vous avez eu l'insolence de mépriser mon clystère."
"eh monsieur purgon, ce n'est pas ma faute, c'est la sienne.","que vous vous êtes soustrait de l'obéissance qu'un malade doit à son médecin."
"ce n'est pas moi, vous dis-je.","je ne veux plus avoir d'alliance avec vous  et voici le don que je faisais de tout mon bien à mon neveu en faveur du mariage avec votre fille que je déchire en mille pièces."
"c'est fort bien fait.","mon frère, vous êtes cause de tout ceci."
"je ne veux plus prendre soin de vous, et être davantage votre médecin.","je vous demande pardon."
"je vous abandonne à votre méchante constitution, à l'intempérie de votre tempérament, et à la féculence de vos humeurs.","faites-le venir, je le prendrai devant vous."
"je veux que dans peu vous soyez en un état incurable.","ah! je suis mort."
"et je vous avertis que vous tomberez dans l'épilepsie.","monsieur purgon."
"de l'épilepsie dans la phtisie.","monsieur purgon."
"de la phtisie dans la bradypepsie.","doucement monsieur purgon."
"de la bradypepsie dans la lienterie.","ah, monsieur purgon."
"de la lienterie dans la dysenterie.","mon pauvre monsieur purgon !"
"de la dysenterie dans l'hydropisie.","monsieur purgon."
"de l'hydropisie dans l'apoplexie.","monsieur purgon ?"
"de l'apoplexie dans la privation de la vie où vous aura conduit votre folie.","ah, c'en est fait, de moi, je suis perdu, je n'en puis revenir ; ah je sens déjà que la médecine se venge."
"sérieusement mon frère vous n'êtes pas raisonnable  et je ne voudrais pas qu'il y eût ici personne qui vous vît faire ces extravagances.","vous avez beau dire, toutes ces maladies en *ies* me font trembler, et je les ai toutes sur le cœur."
"le simple homme que vous êtes comme si monsieur purgon tenait entre ses mains le fil de votre vie  et qu'il pût l'allonger ou l'accourcir comme bon lui semblerait ","il dit que je deviendrai incurable."
"détrompez-vous encore une fois  et sachez qu'il y peut encore moins","il dit que je deviendrai incurable."
"dans le vrai vous êtes un homme d'une grande prévention   et lorsque vous vous êtes mis quelque chose dans l'esprit","que ferai-je mon frère à présent qu'il m'a abandonné  et où trouverai-je un médecin qui me puisse traiter aussi bien que lui ?"
"mon dieu mon frère puisque c'est une nécessité pour vous d'avoir un médecin l'on vous en trouvera un du moins aussi habile qui n'ira pas si vite","ah, mon frère, il connaissait mon tempérament, et savait mon mal mieux que moi-même."
"avec qui vous courrez moins de risque  et qui prendra plus de précaution aux remèdes qu'il vous ordonnera.","ah, mon frère, il connaissait mon tempérament, et savait mon mal mieux que moi-même."
"monsieur, il y a un médecin à la porte qui souhaite parler à vous.","quel est-il ce médecin ?"
